toolTier,level,itemId,count,gold
1,1,hard_log,5,5000
1,2,lavender,10,9000
1,3,pure_ice,15,15000
1,4,iron_ore,25,25000
1,5,hard_log,10,40000
1,5,lavender,10,40000
1,5,pure_ice,10,40000
1,5,iron_ore,10,40000
2,1,hard_log,20,20000
2,2,lavender,40,36000
2,3,pure_ice,60,60000
2,4,iron_ore,100,100000
2,5,hard_log,40,160000
2,5,lavender,40,160000
2,5,pure_ice,40,160000
2,5,iron_ore,40,160000
3,1,hard_log,60,60000
3,2,lavender,120,108000
3,3,pure_ice,180,180000
3,4,iron_ore,300,300000
3,5,hard_log,120,480000
3,5,lavender,120,480000
3,5,pure_ice,120,480000
3,5,iron_ore,120,480000
4,1,hard_log,120,120000
4,2,lavender,240,216000
4,3,pure_ice,360,360000
4,4,iron_ore,600,600000
4,5,hard_log,240,960000
4,5,lavender,240,960000
4,5,pure_ice,240,960000
4,5,iron_ore,240,960000
